房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
4栋18C,125.65,39755.99,95.20,52472.06,4995341.00,在售,住宅
4栋18B,109.99,41406.00,83.34,54646.58,4554246.00,在售,住宅
4栋18A,125.65,36881.00,95.20,48677.50,4634098.00,在售,住宅
4栋17C,125.65,41075.99,95.20,54214.27,5161199.00,在售,住宅
4栋17B,109.99,42726.00,83.34,56388.68,4699433.00,在售,住宅
4栋17A,125.65,38201.00,95.20,50419.70,4799956.00,在售,住宅
4栋16C,125.65,40995.99,95.20,54108.68,5151147.00,在售,住宅
4栋16B,109.99,42646.00,83.34,56283.10,4690634.00,在售,住宅
4栋16A,125.65,38121.00,95.20,50314.11,4789904.00,在售,住宅
4栋15C,125.65,40915.99,95.20,54003.09,5141095.00,在售,住宅
4栋15B,109.99,42565.99,83.34,56177.51,4681834.00,在售,住宅
4栋15A,125.65,38041.00,95.20,50208.52,4779852.00,在售,住宅
4栋14C,125.65,40755.99,95.20,53791.92,5120991.00,在售,住宅
4栋14B,109.99,42406.00,83.34,55966.35,4664236.00,在售,住宅
4栋14A,125.65,37881.00,95.20,49997.35,4759748.00,在售,住宅
4栋13C,125.65,40755.99,95.20,53791.92,5120991.00,在售,住宅
4栋13B,109.99,42406.00,83.34,55966.35,4664236.00,在售,住宅
4栋13A,125.65,37881.00,95.20,49997.35,4759748.00,在售,住宅
4栋12C,125.65,40675.99,95.20,53686.33,5110939.00,在售,住宅
4栋12B,109.99,42326.00,83.34,55860.77,4655437.00,在售,住宅
4栋12A,125.65,37801.00,95.20,49891.76,4749696.00,在售,住宅
4栋11C,125.65,40595.99,95.20,53580.74,5100887.00,在售,住宅
4栋11B,109.99,42246.00,83.34,55755.19,4646638.00,在售,住宅
4栋11A,125.65,37721.00,95.20,49786.17,4739644.00,在售,住宅
4栋10C,125.65,40515.99,95.20,53475.15,5090835.00,在售,住宅
4栋10B,109.99,42165.99,83.34,55649.60,4637838.00,在售,住宅
4栋10A,125.65,37641.00,95.20,49680.58,4729592.00,在售,住宅
4栋9C,125.65,40435.99,95.20,53369.56,5080783.00,在售,住宅
4栋9B,109.99,42085.99,83.34,55544.02,4629039.00,在售,住宅
4栋9A,125.65,37561.00,95.20,49575.00,4719540.00,在售,住宅
4栋8C,125.65,40355.99,95.20,53263.98,5070731.00,在售,住宅
4栋8B,109.99,42006.00,83.34,55438.44,4620240.00,在售,住宅
4栋8A,125.65,37481.00,95.20,49469.41,4709488.00,在售,住宅
4栋7C,125.65,40275.99,95.20,53158.39,5060679.00,在售,住宅
4栋7B,109.99,41926.00,83.34,55332.86,4611441.00,在售,住宅
4栋7A,125.65,37401.00,95.20,49363.82,4699436.00,在售,住宅
4栋6C,125.65,40195.99,95.20,53052.80,5050627.00,在售,住宅
4栋6B,109.99,41846.00,83.34,55227.28,4602642.00,在售,住宅
4栋6A,125.65,37321.00,95.20,49258.23,4689384.00,在售,住宅
4栋5C,125.65,40095.99,95.20,52920.81,5038062.00,在售,住宅
4栋5B,109.99,41746.00,83.34,55095.30,4591643.00,在售,住宅
4栋5A,125.65,37221.00,95.20,49126.25,4676819.00,在售,住宅
4栋4C,125.65,39995.99,95.20,52788.83,5025497.00,在售,住宅
4栋4B,109.99,41646.00,83.34,54963.33,4580644.00,在售,住宅
4栋4A,125.65,37121.00,95.20,48994.26,4664254.00,在售,住宅
4栋3C,125.65,39895.99,95.20,52656.84,5012932.00,在售,住宅
4栋3B,109.99,41546.00,83.34,54831.35,4569645.00,在售,住宅
4栋3A,125.65,37021.00,95.20,48862.27,4651689.00,在售,住宅
4栋111,183.77,38528.99,161.37,43877.26,7080474.00,在售,复式商业
4栋110,134.92,37929.00,118.48,43191.93,5117381.00,在售,复式商业
4栋109,103.05,38228.99,90.49,43535.17,3939498.00,在售,复式商业
4栋108,77.26,38529.00,67.84,43878.99,2976751.00,在售,复式商业
4栋106,191.67,37704.00,168.31,42936.99,7226726.00,在售,复式商业
4栋105,112.02,38229.00,98.35,43542.58,4282413.00,在售,复式商业
4栋103,50.79,58454.00,44.60,66566.79,2968879.00,在售,商业
4栋102,55.19,58453.99,48.46,66571.93,3226076.00,在售,商业
4栋101,236.12,38003.99,207.33,43281.26,8973504.00,在售,复式商业
3栋B座19C,123.51,38596.00,94.00,50712.68,4766992.00,在售,住宅
3栋B座19B,109.49,41346.00,83.33,54325.86,4526974.00,在售,住宅
3栋B座19A,125.08,40346.00,95.20,53009.22,5046478.00,在售,住宅
3栋B座18C,123.51,39896.00,94.00,52420.79,4927555.00,在售,住宅
3栋B座18B,109.49,42646.00,83.33,56033.97,4669311.003479046.00,在售,住宅
5栋B座17D,89.68,38173.99,66.63,51379.91,3423444.00,在售,住宅
5栋B座17C,82.71,40623.99,61.46,54669.88,3360011.00,在售,住宅
5栋B座17B,82.71,39460.99,61.46,53104.76,3263819.00,在售,住宅
5栋B座17A,89.68,38694.00,66.63,52079.81,3470078.00,在售,住宅
5栋B座16D,89.68,38073.99,66.63,51245.32,3414476.00,在售,住宅
5栋B座16C,82.71,40523.99,61.46,54535.30,3351740.00,在售,住宅
5栋B座16B,82.71,39360.99,61.46,52970.19,3255548.00,在售,住宅
