房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
5栋2808,88.58,35000.00,73.10,42411.76,3100300.00,在售,住宅
5栋2807,81.07,35000.00,66.90,42413.30,2837450.00,在售,住宅
5栋2806,81.07,35000.00,66.90,42413.30,2837450.00,在售,住宅
5栋2805,88.58,35000.00,73.10,42411.76,3100300.00,在售,住宅
5栋2804,88.58,35000.00,73.10,42411.76,3100300.00,在售,住宅
5栋2803,81.07,35000.00,66.90,42413.30,2837450.00,在售,住宅
5栋2802,81.07,35000.00,66.90,42413.30,2837450.00,在售,住宅
5栋2801,88.58,35000.00,73.10,42411.76,3100300.00,在售,住宅
5栋2708,88.58,29900.95,73.10,36232.00,2648626.00,在售,住宅
5栋2707,81.07,16216.00,66.90,19650.00,1314631.00,在售,住宅
5栋2706,81.07,15895.00,66.90,19261.00,1288607.00,在售,住宅
5栋2705,88.58,28901.91,73.10,35022.00,2560131.00,在售,住宅
5栋2704,88.58,16060.16,73.10,19461.00,1422608.00,在售,住宅
5栋2703,81.07,16165.00,66.90,19588.00,1310496.00,在售,住宅
5栋2702,81.07,23967.35,66.90,29043.85,1943033.58,在售,住宅
5栋2701,88.58,24297.95,73.10,29443.40,2152312.65,在售,住宅
5栋2608,88.58,29870.96,73.10,36196.00,2645969.00,在售,住宅
5栋2607,81.07,16511.00,66.90,20008.00,1338546.00,在售,住宅
5栋2606,81.07,16288.00,66.90,19737.00,1320468.00,在售,住宅
5栋2605,88.58,22251.36,73.10,26963.42,1971026.16,在售,住宅
5栋2604,88.58,16017.98,73.10,19410.00,1418872.00,在售,住宅
5栋2603,81.07,16354.00,66.90,19817.00,1325818.00,在售,住宅
5栋2602,81.07,23925.99,66.90,28993.72,1939680.11,在售,住宅
5栋2601,88.58,24256.58,73.10,29393.27,2148648.54,在售,住宅
5栋2508,88.58,29840.96,73.10,36160.00,2643312.00,在售,住宅
5栋2507,81.07,16478.00,66.90,19968.00,1335871.00,在售,住宅
5栋2506,81.07,15828.00,66.90,19180.00,1283175.00,在售,住宅
5栋2505,88.58,28841.91,73.10,34949.00,2554816.00,在售,住宅
5栋2504,88.58,16135.50,73.10,19552.00,1429282.00,在售,住宅
5栋2503,81.07,15875.00,66.90,19237.00,1286986.00,在售,住宅
5栋2502,81.07,23884.62,66.90,28943.59,1936326.65,在售,住宅
5栋2501,88.58,24215.22,73.10,29343.15,2144984.42,在售,住宅
5栋2408,88.58,29810.96,73.10,36123.00,2640654.00,在售,住宅
5栋2407,81.07,15856.00,66.90,19214.00,1285445.00,在售,住宅
5栋2406,81.07,15898.00,66.90,19265.00,1288850.00,在售,住宅
5栋2405,88.58,28811.92,73.10,34913.00,2552159.00,在售,住宅
5栋2404,88.58,15611.72,73.10,18917.00,1382886.00,在售,住宅
5栋2403,81.07,15842.00,66.90,19197.00,1284310.00,在售,住宅
5栋2402,81.07,23843.26,66.90,28893.47,1932973.19,在售,住宅
5栋2401,88.58,24173.85,73.10,29293.02,2141320.31,在售,住宅
5栋2308,88.58,29780.96,73.10,36087.00,2637997.00,在售,住宅
5栋2307,81.07,16084.00,66.90,19490.00,1303929.00,在售,住宅
5栋2306,81.07,15865.00,66.90,19225.00,1286175.00,在售,住宅
5栋2305,88.58,28781.91,73.10,34876.00,2549501.00,在售,住宅
5栋2304,88.58,16046.97,73.10,19445.00,1421440.00,在售,住宅
5栋2303,81.07,16059.00,66.90,19460.00,1301903.00,在售,住宅
5栋2302,81.07,19199.00,66.90,23265.00,1556462.00,在售,住宅
5栋2301,88.58,19091.00,73.10,23133.00,1691080.00,在售,住宅
5栋2208,88.58,29750.95,73.10,36051.00,2635339.00,在售,住宅
5栋2207,81.07,16051.00,66.90,19450.00,1301254.00,在售,住宅
5栋2206,81.07,15674.00,66.90,18993.00,1270691.00,在售,住宅
5栋2205,88.58,28751.91,73.10,34840.00,2546844.00,在售,住宅
5栋2204,88.58,15842.68,73.10,19197.00,1403344.00,在售,住宅
5栋2203,81.07,16015.20,66.90,19407.00,1298352.00,在售,住宅
5栋2202,81.07,23760.53,66.90,28793.21,1926266.26,在售,住宅
5栋2201,88.58,19047.00,73.10,23080.00,1687183.00,在售,住宅
5栋2108,88.58,29720.96,73.10,36014.00,2632682.00,在售,住宅
5栋2107,81.07,16018.00,66.90,19410.00,1298579.00,在售,住宅
5栋2106,81.07,15959.00,66.90,19339.00,1293796.00,在售,住宅
5栋2105,88.58,17490.00,73.10,21193.00,1549264.00,在售,住宅
5栋2104,88.58,15958.44,73.10,19337.00,1413598.00,在售,住宅
5栋2103,81.07,15811.64,66.90,19160.00,1281849.00,在售,住宅
5栋2102,81.07,19062.00,66.
