房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
2栋D座3305,131.90,44303.00,92.99,62841.00,5843566.00,在售,住宅
2栋D座3105,131.90,44303.00,92.99,62841.00,5843566.00,在售,住宅
2栋D座3005,131.90,44303.00,92.99,62841.00,5843566.00,在售,住宅
2栋D座2905,131.90,43703.00,92.99,61990.00,5764426.00,在售,住宅
2栋D座2505,131.90,43703.00,92.99,61990.00,5764426.00,在售,住宅
2栋D座2305,131.90,43703.00,92.99,61990.00,5764426.00,在售,住宅
2栋D座2205,131.90,43703.00,92.99,61990.00,5764426.00,在售,住宅
2栋D座1905,131.90,43703.00,92.99,61990.00,5764426.00,在售,住宅
2栋D座1505,131.90,43703.00,92.99,61990.00,5764426.00,在售,住宅
2栋D座1105,131.90,42803.00,92.99,60714.00,5645716.00,在售,住宅
2栋D座905,131.90,42803.00,92.99,60714.00,5645716.00,在售,住宅
2栋D座805,131.90,42803.00,92.99,60714.00,5645716.00,在售,住宅
2栋D座705,131.90,42503.00,92.99,60288.00,5606146.00,在售,住宅
2栋D座605,131.90,42503.00,92.99,60288.00,5606146.00,在售,住宅
2栋D座3603,119.87,45603.00,84.51,64684.00,5466432.00,在售,住宅
2栋D座3203,119.87,45603.00,84.51,64684.00,5466432.00,在售,住宅
2栋C座4105,120.56,45503.00,86.12,63700.00,5485842.00,在售,住宅
2栋C座3905,120.56,45503.00,86.12,63700.00,5485842.00,在售,住宅
2栋C座1105,120.56,44003.00,86.12,61601.00,5305002.00,在售,住宅
2栋C座805,120.56,44003.00,86.12,61601.00,5305002.00,在售,住宅
2栋C座2703,130.14,44903.00,92.96,62863.00,5843677.00,在售,住宅
2栋C座1703,130.14,44903.00,92.96,62863.00,5843677.00,在售,住宅
2栋C座1103,130.14,44003.00,92.96,61603.00,5726551.00,在售,住宅
2栋A座1811,65.66,32637.00,46.15,46435.00,2142946.00,在售,商务公寓
2栋A座1810,50.28,36237.00,35.33,51571.00,1821997.00,在售,商务公寓
2栋A座1809,39.00,34137.00,27.41,48572.00,1331343.00,在售,商务公寓
2栋A座1808,41.33,35937.00,29.05,51129.00,1485277.00,在售,商务公寓
2栋A座1807,41.33,37237.00,29.05,52978.00,1539006.00,在售,商务公寓
2栋A座1806,39.00,35737.00,27.41,50848.00,1393743.00,在售,商务公寓
2栋A座1805,50.27,37537.00,35.33,53411.00,1886985.00,在售,商务公寓
2栋A座1803,50.27,37337.00,35.33,53126.00,1876931.00,在售,商务公寓
2栋A座1802,39.01,35437.00,27.41,50435.00,1382398.00,在售,商务公寓
2栋A座1801,65.58,33937.00,46.09,48288.00,2225589.00,在售,商务公寓
2栋A座1711,65.66,32837.00,46.15,46719.00,2156078.00,在售,商务公寓
2栋A座1710,50.28,36437.00,35.33,51856.00,1832053.00,在售,商务公寓
2栋A座1709,39.00,34337.00,27.41,48857.00,1339143.00,在售,商务公寓
2栋A座1708,41.33,36137.00,29.05,51413.00,1493543.00,在售,商务公寓
2栋A座1707,41.33,37437.00,29.05,53263.00,1547272.00,在售,商务公寓
2栋A座1706,39.00,35937.00,27.41,51133.00,1401543.00,在售,商务公寓
2栋A座1705,50.27,37737.00,35.33,53695.00,1897039.00,在售,商务公寓
2栋A座1703,50.27,37537.00,35.33,53411.00,1886985.00,在售,商务公寓
2栋A座1702,39.01,35637.00,27.41,50719.00,1390200.00,在售,商务公寓
2栋A座1701,65.58,34137.00,46.09,48573.00,2238705.00,在售,商务公寓
2栋A座1611,65.66,32837.00,46.15,46719.00,2156078.00,在售,商务公寓
2栋A座1610,50.28,36437.00,35.33,51856.00,1832053.00,在售,商务公寓
2栋A座1609,39.00,34337.00,27.41,48857.00,1339143.00,在售,商务公寓
2栋A座1608,41.33,36137.00,29.05,51413.00,1493543.00,在售,商务公寓
2栋A座1607,41.33,37437.00,29.05,53263.00,1547272.00,在售,商务公寓
2栋A座1606,39.00,35937.00,27.41,51133.00,1401543.00,在售,商务公寓
2栋A座1605,50.27,37737.00,35.33,53695.00,1897039.00,在售,商务公寓
2栋A座1603,50.27,37537.00,35.33,53411.00,1886985.00,在售,商务公寓
2栋A座1602,39.01,35637.00,27.41,50719.00,1390200.00,在售,商务公寓
2栋A座1601,65.58,34137.00,46.09,48573.00,2238705.00,在售,商务公寓
2栋A座1511,65.66,32837.00,46.15,46719.00,2156078.00,在售,商务公寓
2栋A座1510,50.28,36437.00,35.33,51856.00,1832053.00,在售,商务公寓
2栋A座1509,39.00,34337.00,27.41,48857.00,1339143.00,在售,商务公寓
2栋A座1508,41.33,36137.00,29.05,51413.00,1493543.00,在售,商务公寓
2栋A座1507,41.33,37437.00,29.05,53263.00,1547272.00,在售,商务公寓
2栋A座1506,39.00,35937.00,27.41,51133.00,1401543.00,在售,商务公寓
2栋A座1505,50.27,37737.00,35.33,53695.00,1897039.00,在售,商务公寓
