房号,建筑面积,建筑面积单价,套内面积,套内面积单价,总售价,销售状态,备注
2栋B座3209,100.77,34189.75,76.35,45125.10,3445302.00,在售,住宅
2栋B座3208,94.05,35035.91,71.26,46240.92,3295128.00,在售,住宅
2栋B座3207,88.41,33085.35,66.98,43670.88,2925076.00,在售,住宅
2栋B座3206,88.47,32752.02,67.03,43227.98,2897572.00,在售,住宅
2栋B座3205,88.47,32196.47,67.03,42494.73,2848422.00,在售,住宅
2栋B座3203,88.41,31863.14,66.98,42057.64,2817021.00,在售,住宅
2栋B座3202,94.05,34401.78,71.26,45403.98,3235488.00,在售,住宅
2栋B座3201,100.78,33771.34,76.36,44571.45,3403476.00,在售,住宅
2栋B座3109,100.77,34189.75,76.35,45125.10,3445302.00,在售,住宅
2栋B座3108,94.05,35035.91,71.26,46240.92,3295128.00,在售,住宅
2栋B座3107,88.41,33085.35,66.98,43670.88,2925076.00,在售,住宅
2栋B座3106,88.47,32752.02,67.03,43227.98,2897572.00,在售,住宅
2栋B座3105,88.47,32196.47,67.03,42494.73,2848422.00,在售,住宅
2栋B座3103,88.41,31863.14,66.98,42057.64,2817021.00,在售,住宅
2栋B座3102,94.05,34401.78,71.26,45403.98,3235488.00,在售,住宅
2栋B座3101,100.78,33771.34,76.36,44571.45,3403476.00,在售,住宅
2栋B座3009,100.77,34189.75,76.35,45125.10,3445302.00,在售,住宅
2栋B座3008,94.05,35035.91,71.26,46240.92,3295128.00,在售,住宅
2栋B座3007,88.41,33085.35,66.98,43670.88,2925076.00,在售,住宅
2栋B座3006,88.47,32752.02,67.03,43227.98,2897572.00,在售,住宅
2栋B座3005,88.47,32196.47,67.03,42494.73,2848422.00,在售,住宅
2栋B座3003,88.41,31863.14,66.98,42057.64,2817021.00,在售,住宅
2栋B座3002,94.05,34401.78,71.26,45403.98,3235488.00,在售,住宅
2栋B座3001,100.78,33771.34,76.36,44571.45,3403476.00,在售,住宅
2栋B座2909,100.77,34056.42,76.35,44949.12,3431866.00,在售,住宅
2栋B座2908,94.05,34902.58,71.26,46064.94,3282588.00,在售,住宅
2栋B座2907,88.41,32952.01,66.98,43494.89,2913288.00,在售,住宅
2栋B座2906,88.47,32618.69,67.03,43052.00,2885776.00,在售,住宅
2栋B座2905,88.47,32063.14,67.03,42318.75,2836626.00,在售,住宅
2栋B座2903,88.41,31729.81,66.98,41881.65,2805233.00,在售,住宅
2栋B座2902,94.05,34268.45,71.26,45228.01,3222948.00,在售,住宅
2栋B座2901,100.78,33638.01,76.36,44395.48,3390039.00,在售,住宅
2栋B座2809,100.77,34056.42,76.35,44949.12,3431866.00,在售,住宅
2栋B座2808,94.05,34902.58,71.26,46064.94,3282588.00,在售,住宅
2栋B座2807,88.41,32952.01,66.98,43494.89,2913288.00,在售,住宅
2栋B座2806,88.47,32618.69,67.03,43052.00,2885776.00,在售,住宅
2栋B座2805,88.47,32063.14,67.03,42318.75,2836626.00,在售,住宅
2栋B座2803,88.41,31729.81,66.98,41881.65,2805233.00,在售,住宅
2栋B座2802,94.05,34268.45,71.26,45228.01,3222948.00,在售,住宅
2栋B座2801,100.78,33638.01,76.36,44395.48,3390039.00,在售,住宅
2栋B座2709,100.77,34056.42,76.35,44949.12,3431866.00,在售,住宅
2栋B座2708,94.05,34902.58,71.26,46064.94,3282588.00,在售,住宅
2栋B座2707,88.41,32952.01,66.98,43494.89,2913288.00,在售,住宅
2栋B座2706,88.47,32618.69,67.03,43052.00,2885776.00,在售,住宅
2栋B座2705,88.47,32063.14,67.03,42318.75,2836626.00,在售,住宅
2栋B座2703,88.41,31729.81,66.98,41881.65,2805233.00,在售,住宅
2栋B座2702,94.05,34268.45,71.26,45228.01,3222948.00,在售,住宅
2栋B座2701,100.78,33638.01,76.36,44395.48,3390039.00,在售,住宅
2栋B座2609,100.77,34056.42,76.35,44949.12,3431866.00,在售,住宅
2栋B座2608,94.05,34902.58,71.26,46064.94,3282588.00,在售,住宅
2栋B座2607,88.41,32952.01,66.98,43494.89,2913288.00,在售,住宅
2栋B座2606,88.47,32618.69,67.03,43052.00,2885776.00,在售,住宅
2栋B座2605,88.47,32063.14,67.03,42318.75,2836626.00,在售,住宅
2栋B座2603,88.41,31729.81,66.98,41881.65,2805233.00,在售,住宅
2栋B座2602,94.05,34268.45,71.26,45228.01,3222948.00,在售,住宅
2栋B座2601,100.78,33638.01,76.36,44395.48,3390039.00,在售,住宅
2栋B座2509,100.77,34056.42,76.35,44949.12,3431866.00,在售,住宅
2栋B座2508,94.05,34902.58,71.26,46064.94,3282588.00,在售,住宅
2栋B座2507,88.41,32952.01,66.98,43494.89,2913288.00,在售,住宅
2栋B座2506,88.47,32618.69,67.03,43052.00,2885776.00,在售,住宅
